User_Type,Fabric_Length,Fabric_Width,Piece_Length,Piece_Width,Fabric_Type,GSM,Defect_Count,Marker_Efficiency,Layout_Type,Pieces_Along_Length,Pieces_Along_Width,Pieces_Possible,Waste_Percentage,Utilization_Percentage,Efficiency_Level
Factory,231.08,46.64,0.69,18.41,Silk,273,2,85.39,Staggered,334,2,570,23.31,76.69,Moderate
Factory,179.11,51.48,1.37,23.09,Silk,213,7,86.89,Rotated,130,2,225,20.16,79.84,Moderate
Tailor,6.93,46.22,1.5,22.39,Cotton,292,3,86.82,Grid,4,2,6,19.77,80.23,Good
Tailor,3.2,53.1,1.77,11.46,Silk,261,9,74.86,Rotated,1,4,2,38.0,62.0,Poor
Tailor,6.9,36.2,1.63,25.4,Cotton,299,6,75.47,Rotated,4,1,3,32.41,67.59,Poor
Tailor,9.26,40.37,0.7,19.29,Denim,293,7,85.32,Rotated,13,2,22,23.49,76.51,Moderate
Factory,453.74,62.77,1.21,15.18,Polyester,263,4,89.15,Rotated,374,4,1333,15.67,84.33,Good
Factory,84.87,46.29,0.91,16.39,Cotton,135,2,75.78,Rotated,93,2,140,29.65,70.35,Moderate
Factory,233.42,55.53,1.12,14.14,Silk,199,9,93.65,Grid,208,3,584,19.45,80.55,Good
Factory,264.64,69.94,0.95,17.8,Silk,237,8,90.0,Grid,278,3,750,20.33,79.67,Moderate
Factory,63.06,48.1,1.52,18.09,Polyester,219,2,94.52,Rotated,41,2,77,8.64,91.36,Excellent
Tailor,1.76,51.43,1.8,13.63,Denim,197,5,75.29,Staggered,0,3,0,38.0,62.0,Poor
Factory,388.4,65.95,0.88,11.64,Cotton,291,8,71.3,Staggered,441,5,1572,35.54,64.46,Poor
Tailor,7.79,70.19,0.8,10.41,Polyester,161,2,81.84,Grid,9,6,44,23.94,76.06,Moderate
Factory,395.1,42.04,1.41,24.96,Cotton,299,2,94.12,Grid,280,1,263,16.79,83.21,Good
Factory,228.49,61.74,0.61,23.81,Polyester,126,4,91.26,Rotated,374,2,682,13.72,86.28,Good
Tailor,4.12,51.42,1.06,20.12,Denim,103,6,90.56,Grid,3,2,5,23.03,76.97,Moderate
Factory,368.29,51.68,1.6,29.31,Denim,257,8,89.37,Staggered,230,1,205,23.22,76.78,Moderate
Factory,195.04,44.84,1.9,15.58,Silk,162,7,84.25,Rotated,102,2,171,24.31,75.69,Moderate
Factory,131.83,43.64,1.7,16.81,Denim,242,0,82.92,Grid,77,2,127,24.3,75.7,Moderate
Factory,299.83,44.65,1.21,24.24,Silk,104,1,77.36,Staggered,247,1,191,32.29,67.71,Poor
Factory,262.97,55.11,1.14,24.92,Denim,190,7,76.77,Staggered,230,2,353,31.67,68.33,Poor
Factory,103.8,55.29,1.64,13.7,Polyester,289,7,76.91,Rotated,63,4,193,29.55,70.45,Moderate
Factory,491.23,65.97,0.94,17.22,Denim,103,8,73.16,Grid,522,3,1145,38.0,62.0,Poor
Tailor,6.74,63.1,0.65,10.25,Denim,220,7,81.01,Grid,10,6,48,27.48,72.52,Moderate
Factory,101.34,38.35,1.24,21.54,Cotton,138,2,90.28,Staggered,81,1,73,18.11,81.89,Good
Factory,322.84,64.47,0.84,20.45,Silk,213,4,91.5,Staggered,384,3,1054,13.65,86.35,Good
Tailor,9.53,43.48,0.82,23.21,Polyester,161,2,83.8,Grid,11,1,9,24.66,75.34,Moderate
Factory,181.07,44.33,1.56,24.06,Silk,118,10,75.84,Staggered,116,1,87,38.0,62.0,Poor
Tailor,4.83,55.6,1.47,28.17,Polyester,118,0,74.15,Staggered,3,1,2,35.37,64.63,Poor
Factory,247.62,52.87,0.96,18.05,Denim,228,8,82.34,Grid,257,2,423,31.37,68.63,Poor
Factory,321.67,36.93,0.84,23.49,Cotton,295,10,90.54,Rotated,382,1,345,22.62,77.38,Moderate
Factory,283.53,51.92,0.92,29.94,Silk,262,7,94.23,Staggered,308,1,290,17.69,82.31,Good
Tailor,8.72,47.87,1.54,15.76,Silk,294,8,70.92,Grid,5,3,10,38.0,62.0,Poor
Factory,439.21,65.7,0.5,27.39,Silk,205,0,74.69,Staggered,878,2,1311,30.4,69.6,Poor
Factory,392.0,43.33,1.32,28.55,Silk,278,7,73.04,Rotated,296,1,216,37.63,62.37,Poor
Tailor,3.8,36.49,1.11,14.49,Cotton,218,1,86.19,Grid,3,2,5,23.65,76.35,Moderate
Factory,236.97,53.37,1.21,19.14,Polyester,198,3,93.05,Rotated,195,2,362,14.5,85.5,Good
Tailor,3.49,64.44,1.12,28.68,Denim,100,4,88.15,Rotated,3,2,5,20.61,79.39,Moderate
Tailor,5.02,53.44,1.0,25.26,Silk,216,5,91.74,Rotated,5,2,9,15.46,84.54,Good
Factory,69.64,62.81,1.56,26.23,Silk,269,10,94.52,Staggered,44,2,83,14.88,85.12,Good
Factory,441.37,67.47,1.16,20.52,Silk,103,2,80.25,Rotated,380,3,914,24.91,75.09,Moderate
Factory,202.35,60.94,1.47,27.04,Silk,181,10,87.97,Staggered,137,2,241,22.51,77.49,Moderate
Tailor,3.11,60.64,0.93,14.55,Cotton,211,1,89.01,Rotated,3,4,10,16.61,83.39,Good
Factory,456.54,37.66,1.69,15.87,Denim,210,2,76.1,Staggered,270,2,410,29.86,70.14,Moderate
Tailor,2.58,57.94,1.07,23.66,Silk,249,2,75.8,Rotated,2,2,3,31.85,68.15,Poor
Tailor,9.09,52.75,0.93,20.93,Cotton,213,5,94.69,Staggered,9,2,17,12.87,87.13,Good
Factory,255.58,46.88,2.0,27.07,Cotton,160,6,84.3,Rotated,127,1,107,25.89,74.11,Moderate
Tailor,9.8,59.7,0.91,21.32,Cotton,255,7,90.82,Staggered,10,2,18,21.17,78.83,Moderate
Factory,148.55,42.84,0.88,25.11,Polyester,260,1,92.59,Rotated,168,1,155,14.28,85.72,Good
Tailor,6.22,62.36,0.64,15.9,Silk,144,3,73.3,Rotated,9,3,19,33.6,66.4,Poor
Factory,423.71,45.25,1.74,19.64,Denim,291,5,90.11,Staggered,243,2,437,17.26,82.74,Good
Tailor,8.74,62.07,1.97,29.35,Denim,123,6,70.35,Rotated,4,2,5,37.0,63.0,Poor
Factory,313.05,65.61,1.91,12.17,Polyester,220,0,85.49,Rotated,163,5,696,16.92,83.08,Good
Tailor,6.72,52.71,1.55,22.98,Cotton,135,0,93.66,Staggered,4,2,7,8.91,91.09,Excellent
Tailor,8.99,40.88,1.18,23.41,Silk,250,2,92.14,Rotated,7,1,6,17.85,82.15,Good
Factory,472.57,46.07,1.54,14.35,Silk,160,5,72.48,Rotated,306,3,665,34.2,65.8,Poor
Factory,77.25,45.93,1.95,28.98,Silk,123,10,75.3,Rotated,39,1,29,38.0,62.0,Poor
Factory,159.61,40.53,1.35,11.37,Polyester,250,3,90.33,Grid,118,3,319,13.98,86.02,Good
Tailor,3.5,71.43,1.98,20.8,Polyester,128,10,91.66,Grid,1,3,2,23.77,76.23,Moderate
Tailor,6.3,36.57,0.9,12.54,Silk,234,1,88.64,Staggered,6,2,10,19.12,80.88,Good
Tailor,5.07,43.98,1.42,24.54,Denim,217,10,94.1,Grid,3,1,2,21.88,78.12,Moderate
Factory,358.74,53.65,1.86,11.47,Cotton,182,9,73.71,Grid,192,4,566,35.68,64.32,Poor
Factory,221.41,57.51,0.94,20.11,Silk,125,1,91.32,Rotated,235,2,429,15.73,84.27,Good
Tailor,4.87,67.97,1.12,26.55,Silk,206,1,77.81,Staggered,4,2,6,31.19,68.81,Poor
Tailor,7.18,53.07,0.64,11.71,Silk,124,5,90.29,Rotated,11,4,39,16.44,83.56,Good
Factory,351.51,50.79,1.81,28.82,Silk,284,0,94.21,Rotated,194,1,182,12.15,87.85,Good
Tailor,2.39,53.36,1.77,17.0,Denim,129,4,84.35,Staggered,1,3,2,27.06,72.94,Moderate
Tailor,6.48,59.68,1.54,10.58,Denim,279,4,93.04,Staggered,4,5,18,14.03,85.97,Good
Factory,81.31,62.67,1.96,11.84,Polyester,196,6,81.34,Grid,41,5,166,24.44,75.56,Moderate
Tailor,8.95,41.6,1.63,11.0,Cotton,169,7,86.55,Staggered,5,3,12,22.37,77.63,Moderate
Tailor,7.79,40.1,1.14,15.66,Silk,234,10,77.71,Grid,6,2,9,36.0,64.0,Poor
Tailor,2.84,70.03,1.65,25.28,Denim,183,1,70.19,Rotated,1,2,1,38.0,62.0,Poor
Tailor,5.5,66.0,1.71,11.44,Cotton,211,0,81.49,Grid,3,5,12,23.34,76.66,Moderate
Factory,369.27,51.04,0.67,10.42,Denim,143,9,81.5,Rotated,551,4,1796,28.75,71.25,Moderate
Tailor,3.19,57.2,1.29,17.92,Denim,290,5,75.54,Grid,2,3,4,36.35,63.65,Poor
Tailor,9.15,48.58,1.59,26.38,Polyester,160,1,73.66,Grid,5,1,3,32.15,67.85,Poor
Tailor,2.59,63.82,1.24,25.09,Silk,274,9,86.07,Rotated,2,2,3,28.16,71.84,Moderate
Factory,117.93,38.46,1.16,16.06,Denim,251,0,78.8,Grid,101,2,159,26.5,73.5,Moderate
Tailor,4.32,46.33,1.47,29.55,Cotton,257,9,82.68,Staggered,2,1,1,37.81,62.19,Poor
Tailor,5.05,65.15,1.48,16.43,Silk,228,2,93.94,Staggered,3,3,8,14.37,85.63,Good
Factory,492.07,39.04,1.47,10.78,Silk,212,8,83.07,Grid,334,3,832,28.21,71.79,Moderate
Factory,233.95,48.18,1.4,25.78,Denim,116,5,72.36,Rotated,167,1,120,37.49,62.51,Poor
Tailor,4.0,56.98,0.71,17.0,Silk,133,9,87.72,Grid,5,3,13,23.89,76.11,Moderate
Factory,415.93,60.12,1.74,24.78,Cotton,265,10,80.59,Staggered,239,2,385,29.16,70.84,Moderate
Tailor,4.08,63.58,0.79,30.0,Polyester,119,4,91.11,Grid,5,2,9,17.71,82.29,Good
Tailor,6.96,67.55,1.43,21.94,Polyester,141,2,90.78,Rotated,4,3,10,14.31,85.69,Good
Factory,69.66,49.11,1.58,29.39,Denim,292,7,75.85,Grid,44,1,33,36.48,63.52,Poor
Factory,456.79,42.98,1.52,21.41,Silk,218,4,89.45,Rotated,300,2,536,17.64,82.36,Good
Tailor,8.21,40.98,0.88,22.82,Denim,241,1,87.79,Rotated,9,1,7,18.77,81.23,Good
Tailor,3.46,68.59,0.72,18.75,Polyester,215,5,93.26,Staggered,4,3,11,17.33,82.67,Good
Tailor,4.48,38.94,0.84,16.37,Cotton,282,10,78.38,Grid,5,2,7,36.53,63.47,Poor
Factory,363.23,41.0,1.56,18.97,Cotton,120,0,76.4,Grid,232,2,354,26.16,73.84,Moderate
Factory,100.03,46.37,0.95,10.95,Silk,263,9,81.43,Grid,105,4,342,28.95,71.05,Moderate
Tailor,6.69,56.7,1.58,15.83,Cotton,257,5,76.01,Staggered,4,3,9,31.49,68.51,Poor
Factory,80.46,54.94,1.26,29.77,Cotton,199,7,71.09,Staggered,63,1,44,38.0,62.0,Poor
Tailor,4.21,38.43,0.86,23.14,Cotton,297,9,88.38,Staggered,4,1,3,25.31,74.69,Moderate
Factory,416.08,42.3,1.67,19.29,Silk,261,2,90.29,Grid,249,2,449,17.25,82.75,Good
Tailor,3.64,37.58,0.8,10.84,Denim,231,6,94.73,Rotated,4,3,11,14.34,85.66,Good
Tailor,3.57,67.04,0.57,23.11,Denim,131,5,80.92,Staggered,6,2,9,32.45,67.55,Poor
Factory,202.57,42.73,1.54,17.35,Denim,121,6,71.97,Rotated,131,2,188,35.18,64.82,Poor
Factory,194.55,38.88,1.49,16.13,Silk,142,7,78.79,Grid,130,2,204,34.06,65.94,Poor
Factory,173.55,71.28,1.92,11.5,Silk,193,8,90.03,Rotated,90,6,486,15.17,84.83,Good
Factory,65.66,38.42,1.67,17.33,Silk,245,0,85.13,Rotated,39,2,66,18.31,81.69,Good
Factory,393.39,56.66,1.29,17.96,Denim,163,1,70.65,Grid,304,3,644,34.04,65.96,Poor
Tailor,3.36,45.37,1.17,29.93,Denim,277,7,75.0,Grid,2,1,1,38.0,62.0,Poor
Factory,498.77,65.18,1.95,29.73,Denim,281,1,83.75,Staggered,255,2,427,22.05,77.95,Moderate
Tailor,8.14,54.32,0.68,14.02,Polyester,160,7,70.66,Rotated,11,3,23,38.0,62.0,Poor
Tailor,6.51,39.1,0.96,29.99,Silk,234,6,89.23,Rotated,6,1,5,18.96,81.04,Good
Tailor,5.05,60.48,1.02,27.56,Polyester,296,2,80.82,Grid,4,2,6,27.08,72.92,Moderate
Factory,124.1,47.62,1.56,16.92,Denim,120,4,74.91,Rotated,79,2,118,33.07,66.93,Poor
Tailor,5.52,42.07,1.91,13.08,Denim,244,0,90.63,Grid,2,3,5,18.82,81.18,Good
Factory,343.01,63.61,1.12,22.78,Silk,260,8,77.24,Staggered,306,2,472,33.42,66.58,Poor
Factory,183.85,38.63,0.59,18.79,Silk,218,3,78.5,Grid,311,2,488,25.92,74.08,Moderate
Factory,488.92,40.71,1.06,21.23,Denim,161,7,73.06,Staggered,461,1,336,38.0,62.0,Poor
Factory,475.42,67.11,1.13,29.25,Polyester,183,9,88.03,Grid,420,2,739,21.91,78.09,Moderate
Factory,274.44,47.11,0.53,28.9,Silk,161,3,84.58,Grid,517,1,437,25.08,74.92,Moderate
Factory,178.59,36.29,0.66,12.68,Denim,286,5,89.1,Staggered,270,2,481,19.61,80.39,Good
Tailor,4.26,46.39,1.08,19.01,Denim,259,10,85.28,Grid,3,2,5,31.59,68.41,Poor
Factory,301.02,49.16,0.72,22.05,Silk,228,0,71.13,Grid,418,2,594,34.59,65.41,Poor
Factory,117.02,68.15,0.71,28.63,Denim,141,6,94.77,Rotated,164,2,310,13.73,86.27,Good
Factory,368.93,46.79,1.72,17.37,Cotton,206,9,77.69,Rotated,214,2,332,32.38,67.62,Poor
Factory,169.49,59.6,1.96,21.57,Polyester,284,0,84.59,Grid,86,2,145,24.29,75.71,Moderate
Factory,116.5,60.51,0.55,28.96,Cotton,148,0,81.03,Staggered,211,2,341,21.89,78.11,Moderate
Factory,275.82,58.01,1.21,26.97,Cotton,280,2,82.97,Rotated,227,2,376,20.0,80.0,Good
Factory,191.19,42.23,1.87,16.85,Denim,273,10,86.08,Rotated,102,2,175,25.0,75.0,Moderate
Tailor,3.51,46.75,1.91,29.65,Denim,280,3,87.26,Staggered,1,1,0,26.49,73.51,Moderate
Factory,179.51,56.65,1.31,27.92,Silk,188,2,77.26,Staggered,137,2,211,27.2,72.8,Moderate
Factory,345.19,62.9,0.82,26.56,Denim,243,4,73.43,Rotated,420,2,616,34.23,65.77,Poor
Tailor,7.03,55.12,1.46,11.05,Silk,184,7,72.51,Grid,4,4,11,37.23,62.77,Poor
Tailor,4.66,69.66,1.82,19.55,Polyester,293,4,78.03,Rotated,2,3,4,33.96,66.04,Poor
Tailor,5.82,62.03,1.91,28.26,Polyester,206,2,93.35,Grid,3,2,5,11.53,88.47,Good
Factory,133.84,62.96,1.81,15.79,Cotton,102,4,84.2,Grid,73,3,184,24.44,75.56,Moderate
Factory,495.09,55.56,1.24,28.77,Silk,169,3,90.22,Staggered,399,1,359,21.78,78.22,Moderate
Factory,373.37,36.51,1.01,15.9,Polyester,144,9,91.4,Staggered,369,2,674,17.51,82.49,Good
Tailor,4.61,39.43,1.97,19.55,Polyester,101,4,79.59,Staggered,2,2,3,28.73,71.27,Moderate
Factory,312.11,56.62,0.89,17.19,Polyester,115,10,72.96,Staggered,350,3,766,33.77,66.23,Poor
Factory,360.63,58.99,1.91,17.35,Polyester,156,2,81.95,Staggered,188,3,462,21.45,78.55,Moderate
Factory,365.87,68.86,1.64,26.04,Polyester,295,3,87.01,Rotated,223,2,388,19.42,80.58,Good
Factory,287.68,49.02,1.88,12.24,Polyester,246,8,73.75,Staggered,153,4,451,33.88,66.12,Poor
Tailor,7.45,53.6,1.85,18.91,Cotton,216,2,82.83,Staggered,4,2,6,23.91,76.09,Moderate
Factory,375.48,50.25,1.72,24.92,Cotton,111,6,78.61,Grid,218,2,342,27.14,72.86,Moderate
Tailor,9.88,52.99,0.93,13.6,Polyester,296,10,94.46,Rotated,10,3,28,18.15,81.85,Good
Factory,251.84,69.02,1.07,11.6,Polyester,267,5,72.97,Rotated,235,5,857,34.5,65.5,Poor
Tailor,8.51,63.22,1.97,19.26,Silk,236,6,90.58,Grid,4,3,10,17.23,82.77,Good
Tailor,9.44,62.1,0.67,26.19,Silk,257,0,76.02,Grid,14,2,21,31.65,68.35,Poor
Tailor,3.2,37.59,1.16,20.8,Cotton,135,8,94.84,Grid,2,1,1,23.82,76.18,Moderate
Factory,309.86,63.81,1.73,14.74,Polyester,269,8,75.53,Staggered,179,4,540,30.84,69.16,Poor
Tailor,6.63,51.38,1.24,29.45,Silk,234,5,87.41,Staggered,5,1,4,22.14,77.86,Moderate
Factory,158.44,44.11,1.79,12.89,Silk,114,8,80.32,Staggered,88,3,212,28.73,71.27,Moderate
Tailor,3.29,47.89,0.62,19.0,Denim,123,8,88.11,Grid,5,2,8,23.44,76.56,Moderate
Tailor,8.86,42.77,1.64,24.49,Polyester,222,3,91.74,Staggered,5,1,4,18.38,81.62,Good
Tailor,9.43,70.63,0.68,29.99,Silk,162,9,87.59,Staggered,13,2,22,24.69,75.31,Moderate
Factory,221.3,55.21,1.04,15.23,Silk,219,1,90.07,Rotated,212,3,572,15.41,84.59,Good
Tailor,4.34,50.9,1.34,14.43,Polyester,104,4,83.83,Rotated,3,3,7,23.61,76.39,Moderate
Tailor,2.77,44.28,1.35,14.91,Denim,165,7,94.16,Rotated,2,2,3,17.29,82.71,Good
Factory,126.17,61.93,1.23,28.34,Cotton,234,0,90.98,Grid,102,2,185,12.39,87.61,Good
Tailor,4.71,66.33,0.85,24.14,Cotton,155,8,81.4,Grid,5,2,8,33.81,66.19,Poor
Factory,346.68,36.57,1.3,18.23,Cotton,235,4,83.39,Staggered,266,2,443,21.02,78.98,Moderate
Factory,412.78,68.75,0.66,11.93,Polyester,161,3,85.49,Staggered,625,5,2671,17.7,82.3,Good
Factory,85.56,70.53,1.19,14.86,Polyester,176,10,90.7,Grid,71,4,257,20.81,79.19,Moderate
Tailor,1.84,49.65,1.33,11.12,Cotton,279,2,72.07,Staggered,1,4,2,38.0,62.0,Poor
Tailor,9.05,69.09,0.84,28.03,Silk,169,0,93.1,Rotated,10,2,18,11.84,88.16,Good
Tailor,2.61,66.62,0.52,14.14,Polyester,292,6,93.22,Staggered,5,4,18,16.21,83.79,Good
Factory,354.67,55.46,1.08,24.79,Cotton,228,5,71.34,Staggered,328,2,467,33.46,66.54,Poor
Factory,486.01,47.75,1.45,25.67,Silk,225,3,78.9,Staggered,335,1,264,30.23,69.77,Poor
Factory,88.56,58.27,1.7,24.26,Cotton,168,2,79.5,Rotated,52,2,82,24.9,75.1,Moderate
Factory,97.95,36.19,0.96,17.2,Denim,126,2,72.18,Staggered,102,2,147,32.5,67.5,Poor
Factory,96.48,39.23,1.33,21.94,Denim,198,0,77.3,Staggered,72,1,55,31.83,68.17,Poor
Tailor,6.15,42.1,1.07,12.78,Denim,168,7,73.65,Grid,5,3,11,36.72,63.28,Poor
Factory,402.2,49.0,1.92,24.42,Silk,252,9,74.89,Grid,209,2,313,30.67,69.33,Poor
Factory,199.5,58.33,1.71,16.59,Denim,210,10,94.36,Grid,116,3,328,14.94,85.06,Good
Tailor,5.31,42.39,1.1,16.38,Silk,247,3,78.15,Staggered,4,2,6,31.73,68.27,Poor
Tailor,9.39,43.19,2.0,13.6,Cotton,286,7,93.57,Grid,4,3,11,16.03,83.97,Good
Tailor,8.37,64.64,1.11,19.99,Denim,161,4,86.47,Rotated,7,3,18,19.73,80.27,Good
Factory,495.82,53.25,1.1,20.13,Silk,239,0,89.77,Staggered,450,2,807,20.96,79.04,Moderate
Tailor,1.98,44.94,1.5,13.33,Cotton,244,10,86.94,Staggered,1,3,2,29.06,70.94,Moderate
Factory,97.68,39.55,0.83,24.94,Polyester,214,5,79.78,Rotated,117,1,93,30.03,69.97,Poor
Factory,498.97,53.38,0.94,28.41,Cotton,129,2,78.71,Staggered,530,1,417,30.11,69.89,Poor
Factory,206.74,39.51,1.58,19.05,Cotton,176,0,90.25,Grid,130,2,234,12.73,87.27,Good
Tailor,7.09,41.92,1.98,14.88,Polyester,241,2,78.27,Staggered,3,2,4,28.85,71.15,Moderate
Factory,333.39,42.71,1.49,17.91,Polyester,215,9,80.74,Grid,223,2,360,29.23,70.77,Moderate
Tailor,6.2,64.78,1.31,17.32,Polyester,217,1,76.56,Staggered,4,3,9,28.61,71.39,Moderate
Factory,325.09,57.13,1.02,26.91,Polyester,272,4,92.97,Rotated,318,2,591,10.57,89.43,Good
Tailor,3.15,40.21,1.06,12.83,Silk,207,9,73.45,Staggered,2,3,4,38.0,62.0,Poor
Tailor,5.99,53.63,0.71,16.29,Silk,258,0,91.64,Grid,8,3,21,13.24,86.76,Good
Factory,483.72,54.2,1.24,23.69,Silk,281,7,82.22,Grid,390,2,641,31.18,68.82,Poor
Tailor,3.63,45.89,1.31,13.36,Silk,244,7,83.74,Grid,2,3,5,28.62,71.38,Moderate
Factory,293.92,63.24,1.64,18.83,Polyester,208,1,88.4,Rotated,179,3,474,14.97,85.03,Good
Tailor,5.05,48.55,1.73,18.78,Cotton,298,3,75.25,Rotated,2,2,3,32.59,67.41,Poor
Factory,124.69,41.01,0.81,14.14,Cotton,245,5,83.31,Rotated,153,2,254,24.26,75.74,Moderate
Factory,180.2,45.62,1.79,29.71,Cotton,134,6,92.97,Staggered,100,1,92,17.55,82.45,Good
Tailor,3.25,61.61,1.74,25.23,Silk,225,2,84.44,Staggered,1,2,1,28.7,71.3,Moderate
Tailor,6.7,67.68,0.64,20.31,Denim,277,5,81.37,Staggered,10,3,24,24.03,75.97,Moderate
Tailor,7.58,52.5,1.5,17.16,Cotton,236,6,75.45,Staggered,5,3,11,30.04,69.96,Poor
Factory,422.75,48.16,1.37,21.32,Silk,187,10,89.06,Grid,308,2,548,21.94,78.06,Moderate
Factory,57.33,69.46,0.74,19.13,Silk,151,2,92.05,Staggered,77,3,212,13.77,86.23,Good
Factory,92.0,48.98,0.62,23.29,Polyester,113,6,85.64,Rotated,148,2,253,19.73,80.27,Good
Tailor,7.33,36.04,1.22,12.65,Polyester,232,10,81.13,Grid,6,2,9,32.02,67.98,Poor
Factory,362.31,53.2,0.84,11.79,Cotton,126,5,79.19,Staggered,431,4,1365,25.91,74.09,Moderate
Tailor,6.77,60.38,0.6,21.27,Polyester,212,5,88.06,Rotated,11,2,19,23.01,76.99,Moderate
Factory,436.98,39.12,0.65,25.05,Silk,189,6,77.86,Grid,672,1,523,34.01,65.99,Poor
Tailor,5.98,57.6,1.41,25.58,Cotton,268,4,75.14,Rotated,4,2,6,29.23,70.77,Moderate
Factory,340.78,64.22,1.69,14.79,Silk,128,3,82.49,Rotated,201,4,663,23.04,76.96,Moderate
Tailor,9.88,69.62,0.7,27.22,Silk,193,8,87.07,Staggered,14,2,24,23.97,76.03,Moderate
Tailor,6.29,36.5,0.82,28.45,Silk,229,4,85.71,Rotated,7,1,5,23.78,76.22,Moderate
Factory,87.09,55.32,1.42,15.55,Denim,120,8,93.02,Grid,61,3,170,15.51,84.49,Good
Tailor,3.79,51.75,1.93,14.77,Polyester,122,6,72.9,Rotated,1,3,2,38.0,62.0,Poor
Tailor,2.07,61.48,1.55,13.28,Denim,233,8,89.57,Rotated,1,4,3,23.8,76.2,Moderate
Factory,379.82,40.25,1.85,16.7,Silk,169,8,71.6,Rotated,205,2,293,38.0,62.0,Poor
Factory,254.84,48.96,1.25,21.34,Denim,140,4,89.33,Rotated,203,2,362,14.82,85.18,Good
Tailor,1.4,67.07,0.87,19.44,Silk,138,2,93.28,Grid,1,3,2,19.98,80.02,Good
